transcript_ID	X50	X90
NM_000350	84	91
NM_000663	2085	2036
NM_001606	1010	1167
NM_014551	344	331
NM_015657	4942	6531
NM_016228	605	595
NM_018672	3877	2018
NM_020686	2285	2622
NM_080284	630	534
NM_152299	466	487
NM_172232	2160	1554
NM_173076	3972	4909
NM_182662	559	545
NM_212533	191	269
